team1,team2,city,date,toss_winner,first_batting,team1_player1_bat_rank,team1_player1_bowl_rank,team1_player2_bat_rank,team1_player2_bowl_rank,team1_player3_bat_rank,team1_player3_bowl_rank,team1_player4_bat_rank,team1_player4_bowl_rank,team1_player5_bat_rank,team1_player5_bowl_rank,team1_player6_bat_rank,team1_player6_bowl_rank,team1_player7_bat_rank,team1_player7_bowl_rank,team1_player8_bat_rank,team1_player8_bowl_rank,team1_player9_bat_rank,team1_player9_bowl_rank,team1_player10_bat_rank,team1_player10_bowl_rank,team1_player11_bat_rank,team1_player11_bowl_rank,team2_player1_bat_rank,team2_player1_bowl_rank,team2_player2_bat_rank,team2_player2_bowl_rank,team2_player3_bat_rank,team2_player3_bowl_rank,team2_player4_bat_rank,team2_player4_bowl_rank,team2_player5_bat_rank,team2_player5_bowl_rank,team2_player6_bat_rank,team2_player6_bowl_rank,team2_player7_bat_rank,team2_player7_bowl_rank,team2_player8_bat_rank,team2_player8_bowl_rank,team2_player9_bat_rank,team2_player9_bowl_rank,team2_player10_bat_rank,team2_player10_bowl_rank,team2_player11_bat_rank,team2_player11_bowl_rank,match_winner
Australia,England,Melbourne Cricket Ground,10 January 1991,1,0,20,101,7,101,1,99,17,45,53,75,19,33,30,11,49,101,59,12,101,10,101,5,3,56,29,101,47,101,44,101,36,101,76,101,54,17,98,15,97,64,96,23,101,65,0
Australia,New Zealand,Sydney Cricket Ground,13 January 1991,1,1,10,67,101,101,32,101,9,101,38,81,80,101,72,101,101,76,101,51,101,41,101,1,7,101,40,101,1,99,20,101,54,68,19,33,30,11,48,101,58,10,101,4,101,28,0
Australia,New Zealand,Melbourne Cricket Ground,15 January 1991,1,1,11,68,101,101,33,101,8,101,39,81,63,101,76,101,101,37,101,73,101,51,101,1,36,101,7,101,1,99,19,101,53,65,20,34,30,11,48,101,58,10,101,5,101,22,0
New Zealand,Sri Lanka,Napier,26 January 1991,1,1,86,101,101,101,23,74,13,53,15,43,41,101,101,88,101,42,101,30,73,16,101,31,94,101,32,101,12,68,9,100,56,101,31,101,101,75,101,58,101,33,101,21,101,17,0
New Zealand,Sri Lanka,Auckland,28 January 1991,1,0,84,101,33,101,11,70,7,90,55,101,31,101,101,75,101,57,101,50,101,26,101,15,87,101,101,101,21,74,15,54,14,43,41,101,72,17,101,88,101,42,101,32,101,31,0
New Zealand,Sri Lanka,Dunedin,6 February 1991,1,0,12,66,74,101,7,90,38,80,31,101,51,101,101,74,101,26,101,53,101,23,101,15,87,101,101,101,21,72,15,55,13,42,101,101,101,88,101,43,72,18,101,31,101,49,0
New Zealand,England,Christchurch,9 February 1991,1,1,5,51,30,101,101,101,3,101,28,101,41,101,68,101,52,16,93,59,100,27,96,20,12,66,33,101,9,90,35,80,34,101,53,101,91,74,101,52,101,49,101,23,101,11,1
New Zealand,England,Wellington,13 February 1991,1,0,74,101,33,101,15,67,7,87,37,78,95,59,51,101,101,101,101,50,101,22,101,12,5,49,97,101,31,101,3,101,24,101,42,101,73,101,55,16,87,56,94,17,101,61,0
New Zealand,England,Auckland,16 February 1991,1,0,16,67,68,101,6,88,38,78,37,101,82,56,46,101,101,70,101,22,101,45,101,13,5,47,86,101,32,101,3,101,24,101,43,101,55,15,71,101,99,16,93,17,101,59,0
West Indies,Australia,Kingston,26 February 1991,1,1,19,101,8,101,1,98,17,44,45,63,20,31,49,101,57,9,94,23,101,57,101,24,10,101,2,101,9,101,28,35,5,36,25,101,54,7,39,101,101,39,81,2,84,6,1
West Indies,Australia,Port of Spain,9 March 1991,1,1,20,101,8,101,1,98,19,44,45,63,18,29,48,101,58,9,94,20,101,51,101,25,41,93,2,101,11,101,29,36,6,38,25,101,39,101,55,8,101,75,82,2,101,32,1
West Indies,Australia,Port of Spain,10 March 1991,1,1,8,101,37,101,1,97,44,63,19,46,18,28,47,101,58,13,94,20,101,51,101,24,45,85,2,101,9,101,10,101,25,101,6,38,29,36,39,101,82,2,101,29,101,32,0
West Indies,Australia,Bridgetown,13 March 1991,1,1,38,101,4,101,1,97,17,48,40,60,19,24,44,101,94,19,58,14,101,44,101,26,45,84,2,101,9,101,11,101,8,39,25,101,30,35,39,101,54,8,78,2,85,6,1
West Indies,Australia,Georgetown,20 March 1991,1,0,42,82,2,101,9,101,11,101,8,39,25,101,33,36,39,101,101,32,86,6,101,30,3,101,20,101,1,97,15,50,40,58,19,28,45,101,58,13,94,18,101,34,101,44,1
England,West Indies,Birmingham,24 May 1991,1,1,11,101,44,79,9,101,8,38,36,35,25,101,39,101,57,8,77,2,82,6,101,30,7,44,53,101,101,101,4,101,73,101,47,29,66,39,72,101,54,13,101,51,101,101,0
England,West Indies,Manchester,25 May 1991,1,0,6,42,40,101,101,101,4,101,71,101,101,101,66,37,73,101,101,45,54,15,101,84,43,77,39,101,9,101,35,35,8,39,25,101,55,8,13,101,75,2,80,6,101,27,0
England,West Indies,London,27 May 1991,1,1,44,80,41,101,9,101,101,101,7,39,23,101,34,35,55,9,75,2,82,7,101,27,8,42,38,101,73,101,49,101,101,101,101,101,66,38,72,101,54,6,101,60,101,82,0
Pakistan,West Indies,Sharjah Cricket Association Stadium,17 October 1991,1,0,101,101,101,101,32,101,101,101,13,79,16,15,50,4,101,101,90,29,87,3,101,101,42,80,101,101,6,101,101,101,22,101,29,30,40,101,101,23,74,2,88,8,97,26,1
India,Pakistan,Sharjah Cricket Association Stadium,18 October 1991,1,0,35,32,10,101,36,101,9,76,39,99,101,101,101,101,77,101,66,6,101,101,101,72,101,101,101,101,12,80,101,101,17,15,33,101,51,4,101,101,101,53,87,3,101,101,0
India,West Indies,Sharjah Cricket Association Stadium,19 October 1991,1,0,36,28,6,101,32,101,10,76,39,99,101,101,101,101,65,5,76,101,101,70,101,52,43,77,83,101,7,101,101,101,23,101,31,27,70,101,42,101,74,2,87,8,95,29,0
Pakistan,West Indies,Sharjah Cricket Association Stadium,21 October 1991,1,0,101,101,101,101,13,81,101,101,17,15,34,92,50,4,101,101,101,52,89,3,101,101,45,77,85,101,3,101,101,101,33,23,23,101,40,101,87,8,78,2,83,10,94,30,0
India,West Indies,Sharjah Cricket Association Stadium,22 October 1991,1,1,44,78,84,101,5,101,35,23,23,101,58,101,42,101,87,8,101,24,74,2,95,30,86,96,7,101,26,101,10,77,39,76,101,101,101,101,66,6,76,101,101,63,101,51,0
